Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,BRCA1_DN.V1_UP,0.9507368421052631,0.982463670731454,0.881578947368421,0.981635407786303,1.0,1/26,4.91%,MAP2
prerank,IL2_UP.V1_UP,0.9476793248945148,0.9820768950202883,0.9090909090909091,0.9848511530625514,1.0,1/31,5.21%,FLT1
prerank,ESC_J1_UP_EARLY.V1_DN,0.9506537326022775,0.9819813519731493,0.8352941176470589,0.9791944271314664,1.0,2/30,4.96%,RIOK2;MAPT
prerank,CYCLIN_D1_UP.V1_DN,0.9479254868755292,0.9816550732560039,0.8571428571428571,0.9789135763000852,1.0,3/39,5.25%,BRAF;HDAC2;PSEN2
prerank,MEL18_DN.V1_UP,0.9468130012663569,0.9816427407305552,0.9418604651162791,0.9709951174145548,1.0,2/32,5.33%,EPHA2;TAP1
prerank,CYCLIN_D1_KE_.V1_DN,0.9455236486486487,0.9813584079325013,0.9176470588235294,0.9703602574315543,1.0,2/33,5.46%,FLT1;ERBB2
prerank,SRC_UP.V1_UP,0.9496644295302012,0.9808898070047047,0.9230769230769231,0.9740437797600483,1.0,2/17,5.08%,SRC;BCL2
prerank,SNF5_DN.V1_DN,0.9516603614964271,0.9805883169227778,0.8,0.9730594113521986,1.0,2/22,4.87%,STK26;FLT4
prerank,IL21_UP.V1_DN,0.9496010079798404,0.980270395831299,0.8888888888888888,0.9713427109974425,1.0,1/20,5.04%,KDR
prerank,NOTCH_DN.V1_UP,0.9483193277310923,0.979177883040469,0.9066666666666666,0.985403219258718,1.0,1/21,5.16%,FLT3
prerank,ESC_J1_UP_EARLY.V1_UP,0.9487394957983193,0.9790536189097683,0.8970588235294118,0.9788713071671669,1.0,2/21,5.16%,PDGFRB;FLT3
prerank,ATM_DN.V1_UP,0.9491596638655464,0.9777106147987594,0.9041095890410958,0.990542828884271,1.0,4/21,5.21%,SRD5A1;PTK2B;RET;FLT1
prerank,AKT_UP_MTOR_DN.V1_UP,0.9479647503147294,0.9771522508092007,0.9565217391304348,0.9892270861833105,1.0,1/18,5.21%,FLT1
prerank,AKT_UP.V1_UP,0.9479647503147294,0.9767743507980449,0.9705882352941176,0.9847346547314578,1.0,1/18,5.21%,FLT1
prerank,PGF_UP.V1_DN,-0.08213378492802709,-0.9559789750328516,0.5333333333333333,0.8589449541284404,1.0,39/39,100.00%,KMT2D;TNFAIP3;SPN;SMG6;CREBZF;SPTB;SMARCD1;AURKC;SDC4;PTGFR;PIK3R2;KHDRBS2;SLC6A15;RELB;NFKB2;NOS2;TRIO;LTK;PAX2;SLC29A2;SNX29;SRCAP;ACTL6B;FGA;EVPL;OBSCN;ELAVL3;PTPRU;ERF;DLEC1;MEF2B;SRGAP3;CEBPA;CDKN2C;CACNA1C;CBFA2T3;PIP5K1A;CACNA1H;ADH1B
prerank,CTIP_DN.V1_DN,-0.09693663449433487,-0.9003597841295223,0.5384615384615384,0.9213732798165137,1.0,18/18,100.00%,TGM1;CMKLR1;EPB41L3;MGA;TENT5C;ACOXL;CARD10;SERPINB9;KRT13;SPRR2B;GZMB;HIP1;ABLIM2;IQCG;WNT16;SACS;CD7;AMPH
prerank,LTE2_UP.V1_UP,-0.07154882154882154,-0.8384296705464587,0.6,1.0,1.0,25/25,100.00%,FAM117A;CXCR4;CREB3L2;SOAT1;CEP76;RFTN1;TENT5C;MAP3K5;PLCB4;MYO5A;SERHL2;PCDH9;TFPT;SERPINA1;GSTZ1;PNRC1;HRAS;FGFR4;EPAS1;GNA14;CHST11;DIAPH2;KMO;AOX1;BTG1
prerank,CRX_DN.V1_DN,-0.07608238755779739,-0.8326943720288298,0.5,0.9852828746177371,1.0,22/22,100.00%,ATP8B2;TLE1;DUSP16;HNF1A;PLEC;GLIPR2;NAB2;IRF5;SEMA5B;MYOCD;TUBB6;CCKBR;COL4A2;CDKN1A;CEBPA;OSMR;PHOX2B;PRDM1;LDB1;APOBEC2;BCL3;SERPING1
prerank,CAHOY_ASTROGLIAL,-0.07181856362872743,-0.809467455621302,0.625,0.9909162240463544,1.0,20/20,100.00%,AKR1B10;TDG;LTBP2;MSN;MORC4;GLIPR2;LRP2;LBP;OMD;PCDH17;GPHN;GNA14;COL5A1;CLCN4;CASP1;C3;ANXA1;DYSF;SERPING1;FAS
prerank,ATF2_S_UP.V1_DN,-0.07614640302902818,-0.7844261149168182,0.7419354838709677,1.0,1.0,24/24,100.00%,WT1;SLC1A3;TNFAIP6;PLSCR4;SFRP4;ADAM22;POLE;NFIB;MN1;LAMA2;IL4R;ID3;PARD6B;IQCG;ST3GAL6;FBLN2;KBTBD11;PDE4DIP;COL7A1;COL11A1;OSMR;IRS4;ADH1B;SERPING1
prerank,NRL_DN.V1_UP,-0.07229928541403952,-0.7714508580343215,0.6086956521739131,0.9821428571428572,1.0,22/22,100.00%,PLA2R1;TNFAIP3;SPEN;TCP11;MEF2C;PPP1R3A;IRF6;LMO1;MLF1;CNOT3;KMT2C;RNF207;SLC29A2;GNAT1;GNB1;EXT1;ELAVL3;BCL2L11;CTIF;BCL3;ACVR2B;ZFP36L2
prerank,BMI1_DN.V1_DN,-0.0700503355704698,-0.7459626617798649,0.6923076923076923,0.9945788156797332,1.0,17/17,100.00%,TEX14;SOX2;BRCC3;PEG3;TRPS1;IDH1;IFI27;GTF2I;WNT16;ETV1;EPHA4;DPYD;CHMP2B;SEMA3E;TP63;H4C8;H3C8
prerank,RB_P130_DN.V1_DN,-0.07508389261744966,-0.7310869767010117,0.7045454545454546,0.9808785400877542,1.0,17/17,100.00%,KIF16B;CSDE1;STAT6;CLIP1;RRAS;HTRA1;RASA1;RB1;LIFR;IDH1;SOX21;AKAP9;PARP9;DDX3X;SPOP;B2M;EIF2S2
prerank,P53_DN.V2_DN,-0.06602186711522287,-0.6974514846855271,0.7894736842105263,1.0,1.0,23/23,100.00%,SLC6A3;NKX2-1;TDRD1;TP73;SCN9A;TRPV6;PTPN11;MTHFR;LLGL1;ITGA4;HOXA11;H1-4;HOXD13;GNA13;NDC80;ELAVL2;EPHA7;BCL2L11;RASAL1;NRXN3;ANPEP;SERPING1;CLTCL1
prerank,SIRNA_EIF4GI_UP,-0.07208717518860017,-0.6571486024532475,0.7894736842105263,1.0,1.0,15/15,100.00%,BTG2;CSDE1;SAMM50;SPART;PTPN13;NONO;IGF2R;HLA-B;TXNIP;EPRS1;SETDB1;NCAPD2;ATP1A1;CPNE1;ZFP36L2
prerank,KRAS.300_UP.V1_UP,-0.05941845764854615,-0.6351351351351353,1.0,1.0,1.0,28/28,100.00%,MKRN3;NAV3;TERT;HEY1;WNT7A;RREB1;STC1;RELN;SLC6A15;PEG3;CFHR2;GABRA1;GRIN2A;ST3GAL6;ETV5;ETV1;ETV4;RCAN2;DYNC1I1;DDX6;DOCK4;CTNNA2;CHGA;IL1RL1;ASTN1;ANK3;ANPEP;H2BC17
prerank,PTEN_DN.V1_UP,-0.06596638655462185,-0.6302408563782333,0.8611111111111112,1.0,1.0,21/21,100.00%,TEC;TLE1;TCHH;TGFBR3;SPTA1;CAMTA1;TENT5C;MAP3K5;CCDC102B;TUBB2B;PGR;PAX3;TXNIP;PLCE1;EPHA4;DCC;GAL3ST1;GLT8D2;KALRN;JAG1;CLTCL1
prerank,EIF4E_DN,-0.07169811320754717,-0.6069090622288821,0.8888888888888888,1.0,1.0,16/16,100.00%,FXR1;TP53BP2;TP53BP1;FZD3;CLTC;TRIP11;WDFY3;PHIP;MAP3K5;PARP8;RANBP2;ARHGAP32;C3;OFD1;EP400;FAS
prerank,RB_DN.V1_DN,-0.0600335852225021,-0.6020583190394511,0.9259259259259259,0.9858430876304967,1.0,19/19,100.00%,ACKR3;SLC7A5;CREB3L2;TLL1;RPS2;PLXNA2;PRKAR1A;RB1;PDGFB;TUBA4A;WNT3;LIFR;MMP13;TNC;MICAL2;NDRG1;PDCD6;DDIT3;H2BC4
prerank,PKCA_DN.V1_UP,-0.05842791088692728,-0.5711702827087441,1.0,0.9759174311926605,1.0,22/22,100.00%,SPTBN4;TCHH;CREB3L2;WNT10A;TET1;PASK;PLXNA3;UGT2A3;MGMT;PACSIN1;TUBB2B;GSTT1;EGR3;GSTM4;GSTM1;GSTA4;GSTA3;GSTA2;PPP6R2;CD36;SLC16A3;ADRA1A
